Designator,Mid X,Mid Y,Layer,Rotation
C1,114.5,-71.25,top,90
C2,122.75,-73,top,90
C3,115.25,-68,top,-90
C4,114,-68,top,-90
C5,123,-75.5,top,180
C6,123,-76.75,top,180
C7,112.5,-71.25,top,-90
C8,115.25,-64.5,top,-90
C9,113.75,-79.75,top,-90
C10,112.5,-79.75,top,-90
C11,112.5,-82,top,90
C12,111.25,-82,top,90
C13,116.25,-82,top,90
C14,117.5,-82,top,90
C15,113.75,-82,top,90
C16,115,-82,top,90
C17,112.5,-77,top,90
C18,112.5,-74.5,top,-90
C19,135,-77,top,-90
C20,133.75,-77,top,-90
C21,128,-70,top,90
C22,130.25,-71.5,top,90
C23,132.5,-70,top,-90
C24,133.75,-74.02,top,90
C25,132.5,-84,top,90
C26,131.25,-84,top,90
C27,128.75,-84,top,-90
C28,124,-67,top,90
C29,127.25,-68.5,top,180
C30,119.25,-81.5,top,0
C31,119.23,-82.75,top,180
C32,121.5,-82.75,top,0
C33,121.5,-81.5,top,180
C34,123.25,-83,top,90
C35,122.75,-80.25,top,0
C36,122.75,-79,top,180
C37,126.25,-82,top,90
C38,127.5,-82,top,90
D1,118.5,-77,top,90
FB2,126.5,-67,top,0
L1,120.75,-84.25,top,0
L2,124.75,-81.25,top,90
R1,114,-64.5,top,-90
R3,110.75,-80.25,top,0
R4,114.6,-66.25,top,180
R5,126.75,-73,top,-90
R6,128.5,-71.75,top,180
R7,125.5,-73,top,-90
R8,132,-71.75,top,180
R9,135,-74.02,top,90
R10,130,-84,top,90
R11,128.75,-82,top,-90
SW1,109.5,-68.75,top,90
U1,119,-70.5,top,0
U2,130.25,-76.25,top,90
U3,130.25,-68.27,top,90
Y1,110,-75,top,90
